Output data:
OUT[1][9][8] = 71165696.000000
OUT[1][9][9] = 71175984.000000
OUT[1][9][10] = 71186272.000000
OUT[1][9][11] = 71196576.000000
OUT[1][9][12] = 71206872.000000
OUT[1][9][13] = 71217168.000000
OUT[1][9][14] = 71227464.000000
OUT[1][9][15] = 71237736.000000
OUT[1][10][0] = 71248064.000000
OUT[1][10][1] = 71258360.000000
OUT[1][10][2] = 71268648.000000
OUT[1][10][3] = 71278944.000000
OUT[1][10][4] = 71289240.000000
OUT[1][10][5] = 71299544.000000
OUT[1][10][6] = 71309824.000000
OUT[1][10][7] = 71320104.000000
OUT[1][10][8] = 71330432.000000
OUT[1][10][9] = 71340720.000000
OUT[1][10][10] = 71351008.000000
OUT[1][10][11] = 71361312.000000
OUT[1][10][12] = 71371608.000000
OUT[1][10][13] = 71381904.000000
OUT[1][10][14] = 47338796.000000
OUT[1][10][15] = 47857680.000000
OUT[1][11][0] = 71412800.000000
OUT[1][11][1] = 71423088.000000
OUT[1][11][2] = 71433384.000000
OUT[1][11][3] = 71443680.000000
OUT[1][11][4] = 71453976.000000
OUT[1][11][5] = 71464280.000000
OUT[1][11][6] = 71474560.000000
OUT[1][11][7] = 71484840.000000
OUT[1][11][8] = 71495168.000000
OUT[1][11][9] = 71505456.000000
OUT[1][11][10] = 71515760.000000
OUT[1][11][11] = 71526048.000000
OUT[1][11][12] = 71536344.000000
OUT[1][11][13] = 71546640.000000
OUT[1][11][14] = 71556920.000000
OUT[1][11][15] = 71567208.000000
OUT[1][12][0] = 71577536.000000
OUT[1][12][1] = 71587824.000000
OUT[1][12][2] = 71598120.000000
OUT[1][12][3] = 71608416.000000
OUT[1][12][4] = 71618712.000000
OUT[1][12][5] = 71629016.000000
OUT[1][12][6] = 71639296.000000
OUT[1][12][7] = 47509200.000000
OUT[1][12][8] = 31454272.000000
OUT[1][12][9] = 46931588.000000
OUT[1][12][10] = 46938304.000000
OUT[1][12][11] = 46945020.000000
OUT[1][12][12] = 46951744.000000
OUT[1][12][13] = 46958464.000000
OUT[1][12][14] = 46965184.000000
OUT[1][12][15] = 46971900.000000
OUT[1][13][0] = 46978624.000000
OUT[1][13][1] = 46985348.000000
OUT[1][13][2] = 46992064.000000
OUT[1][13][3] = 46998780.000000
OUT[1][13][4] = 47005504.000000
OUT[1][13][5] = 47012224.000000
OUT[1][13][6] = 47018944.000000
OUT[1][13][7] = 47025660.000000
OUT[1][13][8] = 47032384.000000
OUT[1][13][9] = 47039108.000000
OUT[1][13][10] = 47045824.000000
OUT[1][13][11] = 47052540.000000
OUT[1][13][12] = 47059264.000000
OUT[1][13][13] = 47065984.000000
OUT[1][13][14] = 47072704.000000
OUT[1][13][15] = 47079420.000000
OUT[1][14][0] = 31218944.000000
